company,company_link,job_link,job_title,location,new_offer,rating
ITEM Srl,https://it.indeed.com/cmp/Item-Srl-1,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CrJ6gg9L_LwD77aWAA7gr7RTjh6ApatSpbDrYrEBCdalRB-gRrRjtQt47ERLwFcgIEe7_4OvO6cbP_DnN15T123RzpXad6BJgGFEaT2_vo1_BYETNxxz82OwcpfijhPessr9H9-QmvZnk1xNJf-Y6iOrQ-66Ddtw_sbtvKhxRSrn4iyF4jYPVlMctFaItPhcSGakEoFf4JLxcrIqM5EHkNVpd-MRViHPyEiZ52o_kjVhIFyglbpgnGB44yOPql76pwgrKPSydH765vn43jx1iYQxZnU9IG7bqlucEdpcqoZ5uZZqT4FJiHYrCcP3nWMzqnpKcEc7Q7j7cfXTgJNYxjSzSs8epJhYrCqiT6XnCpymzgG6GdwX5DqRb0u2OEQAD8KBzMeaTIQs6ysgq7F1iAY4Tbu3Dngf9jcNRVy03qRSZ-QVxQYqzvcRoIj6taj6QO943FoAVeV2nhu7tO633pljYtdEaqvv6ZdRn0xuITdg==&p=0&fvj=1&vjs=3,Project Manager,"Roma, Lazio",True,2.5
Messagenius - Secure Enterprise Messenger,,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D2DJU5hgIP42lWTrzCodgMgkvkdzcC50MyjxrHfe8xGQ2cqVAfXCaB-mU_6MYO0rst8eeexBLPKoDEjCdvkKcs6uEzrsUUPW4vmcd663cDVaDNuwQgB9R4NdBTTaBFdoq3eD3vgSx7uL6qX_twWs93QKcokIOYwpWBbC8NcVaTysikB1iE5hqOeSUKxQEiFblGt0Nhq1xxGCnQDs68W3f6IWvrppIJ4IgnkgLxG1-IsrG7NEQZwwQomVY7z7X6ZFk19oLRebICzTtxxRY_BBz14dQOaUUr-1-HdQ6wY9ABBLfh94tt7EIbhVk9z8F-a-KQFCs_P84jOJ3VrFhHxvq4KTffDPYTrKA_9Yr1lpw0KF-1y9vlW54q3PR5wGSNsE7dUs1QfltY8cflqUn4uyj3qUaNLPG5kwRL1-GtpHCne8_dBzUtlIUAlJsJIuSrwC_glxPdzwcdw9m9CRcgx9K1Mrdbb0Xt1DjVpLZzkPR0vg==&p=1&fvj=1&vjs=3,IT Project Manager,"Temporaneamente da remoto in Roma, Lazio",,
Plenia,,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DijOaoZPdrqhZStx9vxbfiv8d6jOyZBorX4fuvGMbPmWFHEY3IQ-QowYISli2hG6Ve15ZNwln-iYXLVDGgpNxVUFVd0pBFEnRHnRWEoYfH6VHUBk4Hgjrbtm_Y-bgaztQrmBReI2_ea353rpbaSOjaDHa_4PSXgzHMgLZd0CuhJ9nwwqcI2QWFY71KegvFKfgy7V9i-6CPPcqeAnjRggqiUmHbFW9iEbZDgejrasc3vxzRN2VuMTAsBxennxmLVUgcYu9ltf-42lY3ty86IPklpOsjOGRwSphTOQOoVNYW0jTPZ0cMEL82vqNgIu3lNpj-ORB7yvGp6z4vazOO28IrBvCoKVJ6h6ga5m7H9YKEdF5OrjuEuCqI8ysVwqT9lBGrn_Nke2tfvQx7pdo8uqk-lQynSZwhQhd5xCU2NtEdVQ3NqVyDHd1TMdlsqSj-RpSsTYmSS6EcFoWhbKbO4_swtCvYv13Lsn5WvzYeaYSbjrW9SXFXzHMH5KpcYy8qixX5kxVPJWrFpQ==&p=2&fvj=1&vjs=3,Project Manager per lancio Startup in ambito travel technology,Da remoto in 00146 Roma,,
ManpowerGroup,https://it.indeed.com/cmp/Manpower,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClZqaX-sKdGgzOio3yhb4AvR-vSPstYNRqTmgyaFf4FX8kYLOT3HC7lFjvQpBI5CLrTIBIu3FG_DY3LREZPh_6kLhKvvnF3snUsJkCkSYatL4ZYepQoMpyTDV6PzIoLyVNVk9ZmTnXgNq0prFfFusrSVTfh_aKh88HGuveDwgGmD0TLYdaYMLlyjekjGGIm4bTtPaZZ3Sjkvq8shYCvjOotFzyiBBkxuefleC6pNexWM5k_T4n5YOP711cU5ft_pxKy1S_CLAjlhZGUFV7hpsNAl4ylsBROX02rwXVPBIwSOi6_A_e5ERkf2TzDo3d3T5mv0q42-fUTYjKk3wRExCe-eUFjLZ_yx7mPv0mhlQdTUiPKpZnlnbBFVRyfaqGn6_bYLsBaoGk3sPf1_GWa-dWiFhT-ZaG5znpE7rLk9Dl9wOZ4ZnW4eODuHdQjxzy151kZZzYfDzlDayPn-9p7LmEryFzVQZ1y-Svll3KIiAG3mtHSSkoM6YERfHrRkzvnQ_vuGdiTx4vTay14c4xV00cEwQp3KRHLLu9cboWIf8zAnCxqGlykewO8gd9EEr3f7ggVPRm8A4jaJy-P9uMxYEPhLQuokY8Osr5n0krnalAlglMAi_LVIlijKNxc9-N2tHDbp7QUCT0Z_gkSyqOVYiTBhro1Lt4rlIm6ZzKTMWhdg==&p=3&fvj=0&vjs=3,PROJECT MANAGER ROMA,"Roma, Lazio",True,3.8
Synergie Italia S.p.a.,https://it.indeed.com/cmp/Synergie-1,https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUipGQm0QaJYO6CC6uwHoTSX5ssn8ecuqbExbs2vwAEoSXhCzvBwd9lZXiQrjxZL6RaNFogU20YXFHR08qK6oUcnaBmkdkjs2eldznVDn101T6Q__sRJBTRjEenJ7V1aUbbwot7di3jU7n9EaCI6j6QVcpLeL2L83PhiRPoDXjcQeOnTSAoQSASVzeDDwE987Hw5xPn1KSH7YTTWk4gFDQnj0z_OZumK2vgmyLm2Pn0VHaO1jnEENR4Lyd4ThOsmthYl6jyEQnxSQR-hyMximx8H_G6k5DiTRa6-wivxIyvGefX9bxAVtTqf7ZYr2eXRHazcMgqJ3cwRNs4S8PPduwRZNlgdh2TXytyX6trE04xbAaZ7x6Dbls2_m7ldFMgb34cO5W4iyfQKkPeNgnhnQqw1g51nc5OUr2UN5sMeQDj377Z5I1yxKLi_-AOo4qtKjuuZLKMtjZcf2suv5zZByrKeZX-14KlG6K9PhLhsZzEYnltoMlYH0Mspijc0C6jZd3zazUdmkiwzvScpQjAJz0EYsv381uQeyxQGD0bUKS08c9QUgTWrYUSw5oOC2-UybNSHXNXLB-QWXGSwFAuO2JTukIZZfjP5s8ppApqrb2mk5Mas4bjWjQ5uwf39KAlQK2tp4j01I0oNn77GQnljuWtV168wPyEY7KTthNemOLL4nfEflx0v5h&p=4&fvj=0&vjs=3,PROJECT MANAGER SETTORE ECOBONUS,00185 Roma,,3.6
MisterTemp',https://it.indeed.com/cmp/Mistertemp',https://it.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DgNB8AxKEeHXlcWArFcVwO-SomvWcCvFLXWC0DivilgIqRx9lXyLf5ZAz07rrLc9Hkti_Waa5LiC_DfWhJaoLmbDrjJUYhf_dN8ure8Z6b841d0YyO0JeE5vSEkuQlEP5Q1xouWim93xCYS-ACY0RxgGIhCD3zvfPX0jg6S75OUjVPryQgkMNc9CBG64Ni5BkiMaxONM0Uc9GBRrgtbOtrhoSrrmWuqjOo9q-dQoO7lEEmHX2BqIcBJ0YuauTBLLx8-8_00PNODHp-Ei1c7Dg6XvxZYs0zg2PzY_KEjlvYr3Ewo77YHY213DKcjyDDR2tmH78Itrh3fJEbv2Dc-H4rlhGHWLNwIXpmT0xdJRj-HkgGtt-caDV-r-8BTkG4278bB29EqCnrXM88GoB-wopl0cOgA2G4L-NUXgiHTgqbXvHoi1JBi1pkARA4dCCBkRTO48Mkdho0WsCsum6rqw6KmtBZfJRvwhiD6zxp41u4-o6DBZkMHzfa5xcFnjMJMXeUlBU4GoEXbxPtxoed5PPpEmptcSs96UN7QvBzFysnKMbLT2jJUI_sPFY2AMQY1-AwKNBcgH_U2mlMGR0-_KC1lAJodGhhXSfZlLZunwyH7QZShhTFwh1wJDC65UUgubhY8C-e8Jh2ew==&p=5&fvj=0&vjs=3,PROJECT MANAGER,00186 Roma,,4.3
Enel,https://it.indeed.com/cmp/Enel,https://it.indeed.com/rc/clk?jk=7dac4ae12c80df5b&fccid=fb309e44539d2522&vjs=3,Project Manager Junior – Grandi Commesse Lazio,"Roma, Lazio",True,3.9
Estiatech S.r.l.,,https://it.indeed.com/company/Estiatech-S.r.l./jobs/Project-Manager-Junior-961ffff82914fc75?fccid=53f820f45b634342&vjs=3,Project Manager Junior,00148 Roma,True,
GCHCONSULTING srl,,https://it.indeed.com/rc/clk?jk=ce2931e1d03d34e1&fccid=6efa0b9beedf3a77&vjs=3,JUNIOR PROJECT MANAGER,00174 Roma,True,
Mama Industry S.r.l,https://it.indeed.com/cmp/Mama-Industry-S.r.l,https://it.indeed.com/company/Mama-Industry-s.r.l/jobs/Project-Manager-0baac673e580fade?fccid=07bc50807048d4c0&vjs=3,Project Manager,Da remoto in 00168 Roma,True,4.6
